slug,title,doc_type,lab_slug,source_url,updated_at,word_count_latest
anthropic_35_addendum,Claude 3.5 Model Card Addendum,model_card,anthropic,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,2026-03-31 09:13:59.375987+00:00,2948
anthropic_35h_addendum,Claude 3.5 Haiku Addendum,model_card,anthropic,https://www-cdn.anthropic.com/c7822cdc35ad788ec87e14b3a9d45010f1f86c38.pdf,2026-03-31 11:25:02.381872+00:00,5793
anthropic_37_card,Claude 3.7 Sonnet System Card,model_card,anthropic,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,2026-03-31 11:25:19.517491+00:00,17827
anthropic_claude2_card,Claude 2 Model Card,model_card,anthropic,https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,2026-03-31 09:10:56.881993+00:00,5889
anthropic_claude4_card,Claude 4 System Card,model_card,anthropic,https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf,2026-03-31 09:11:41.802373+00:00,33237
anthropic_claude_character,Claude's Character,constitution,anthropic,https://www.anthropic.com/research/claude-character,2026-04-08 22:19:34.497539+00:00,1731
anthropic_constitutional_ai,Constitutional AI Paper,constitution,anthropic,https://arxiv.org/pdf/2212.08073,2026-04-08 22:19:34.532204+00:00,19146
anthropic_core_views,Core Views on AI Safety,constitution,anthropic,https://www.anthropic.com/news/core-views-on-ai-safety,2026-04-08 22:19:34.468367+00:00,6781
anthropic_fable5_card,Claude Fable 5 & Mythos 5 System Card,model_card,anthropic,https://www.anthropic.com/claude-fable-5-mythos-5-system-card,2026-06-28 17:20:44.356248+00:00,66211
anthropic_haiku45_card,Claude Haiku 4.5 System Card,model_card,anthropic,https://assets.anthropic.com/m/99128ddd009bdcb/Claude-Haiku-4-5-System-Card.pdf,2026-03-31 09:12:59.853309+00:00,10325
anthropic_model_card,Claude 3 Model Card,model_card,anthropic,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2026-03-31 09:11:16.033587+00:00,14089
anthropic_mythos_card,Claude Mythos Preview System Card,model_card,anthropic,https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf,2026-04-08 22:19:36.414666+00:00,65849
anthropic_opus41_card,Claude Opus 4.1 System Card,model_card,anthropic,https://www-cdn.anthropic.com/9fa30625273bafdf5af82c93719d7ca606485a16.pdf,2026-03-31 09:13:16.994806+00:00,5271
anthropic_opus45_card,Claude Opus 4.5 System Card,model_card,anthropic,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,2026-03-31 09:12:11.005523+00:00,38212
anthropic_opus46_card,Claude Opus 4.6 System Card,model_card,anthropic,https://anthropic.com/claude-opus-4-6-system-card,2026-04-08 22:19:34.788842+00:00,53965
anthropic_opus47_card,Claude Opus 4.7 System Card,model_card,anthropic,https://anthropic.com/claude-opus-4-7-system-card,2026-05-15 15:04:15.253698+00:00,62813
anthropic_opus48_card,Claude Opus 4.8 System Card,model_card,anthropic,https://www.anthropic.com/claude-opus-4-8-system-card,2026-05-30 09:52:04.893931+00:00,61922
anthropic_rsp,Responsible Scaling Policy,constitution,anthropic,https://www.anthropic.com/responsible-scaling-policy,2026-04-08 22:19:34.366773+00:00,3203
anthropic_safeguards,Building Safeguards for Claude,constitution,anthropic,https://www.anthropic.com/news/building-safeguards-for-claude,2026-04-08 22:19:36.548189+00:00,1614
anthropic_sonnet45_card,Claude Sonnet 4.5 System Card,model_card,anthropic,https://assets.anthropic.com/m/12f214efcc2f457a/original/Claude-Sonnet-4-5-System-Card.pdf,2026-03-31 09:12:40.842455+00:00,37364
anthropic_sonnet46_card,Claude Sonnet 4.6 System Card,model_card,anthropic,https://www-cdn.anthropic.com/78073f739564e986ff3e28522761a7a0b4484f84.pdf,2026-03-31 09:13:43.474121+00:00,28336
anthropic_usage_policy,Acceptable Use Policy,usage_policy,anthropic,https://www.anthropic.com/legal/aup,2026-04-08 22:19:34.241117+00:00,2576
google_ai_principles,AI Principles,constitution,google,https://ai.google/responsibility/principles/,2026-04-08 22:19:36.911577+00:00,28
google_frontier_safety,Frontier Safety Framework,constitution,google,https://deepmind.google/blog/updating-the-frontier-safety-framework/,2026-04-08 22:19:37.198111+00:00,13
google_gemini_1_5_report,Gemini 1.5 Technical Report,model_card,google,https://arxiv.org/pdf/2403.05530,2026-03-31 09:16:31.307971+00:00,64551
google_gemini_25_card,Gemini 2.5 Flash Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Model-Card.pdf,2026-03-31 09:16:49.124307+00:00,2883
google_gemini_25dt_card,Gemini 2.5 Deep Think Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Deep-Think-Model-Card.pdf,2026-03-31 11:27:20.329194+00:00,6313
google_gemini_25_pro_card,Gemini 2.5 Pro Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,2026-03-31 09:17:07.101602+00:00,7182
google_gemini_2_card,Gemini 2.0 Flash Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Model-Card.pdf,2026-03-31 11:27:02.292947+00:00,1529
google_gemini_31_pro_card,Gemini 3.1 Pro Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-1-Pro-Model-Card.pdf,2026-03-31 11:27:36.734953+00:00,1755
google_gemini_35_flash_card,Gemini 3.5 Flash Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-5-Flash-Model-Card.pdf,2026-06-28 17:19:01.405699+00:00,1166
google_gemini_3_card,Gemini 3 Flash Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,2026-03-31 09:17:23.099210+00:00,1070
google_gemini_3_pro_card,Gemini 3 Pro Model Card,model_card,google,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,2026-03-31 09:17:39.102689+00:00,2158
google_gemini_report,Gemini Technical Report,model_card,google,https://arxiv.org/pdf/2312.11805,2026-03-31 09:16:08.879055+00:00,32283
google_prohibited_use,Generative AI Prohibited Use,usage_policy,google,https://policies.google.com/terms/generative-ai/use-policy,2026-04-08 22:19:37.164696+00:00,621
google_responsibility,Responsibility & Safety,constitution,google,https://deepmind.google/responsibility-and-safety/,2026-04-08 22:19:37.241077+00:00,16
google_responsible_ai,Responsible AI Practices,usage_policy,google,https://ai.google/responsibility/responsible-ai-practices/,2026-04-08 22:19:36.946267+00:00,28
meta_llama2_card,Llama 2 Model Card,model_card,meta,https://raw.githubusercontent.com/meta-llama/llama/main/MODEL_CARD.md,2026-03-31 09:17:53.229399+00:00,956
meta_llama31_card,Llama 3.1 Model Card,model_card,meta,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama3_1/MODEL_CARD.md,2026-03-31 09:19:16.853795+00:00,3304
meta_llama32_card,Llama 3.2 Model Card,model_card,meta,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama3_2/MODEL_CARD.md,2026-03-31 09:19:31.216945+00:00,4158
meta_llama3_model_card,Llama 3 Model Card (GitHub),model_card,meta,https://raw.githubusercontent.com/meta-llama/llama3/main/README.md,2026-03-31 09:19:02.351091+00:00,1191
meta_llama3_paper,Llama 3.1 Technical Paper,model_card,meta,https://arxiv.org/pdf/2407.21783,2026-03-31 09:18:32.566760+00:00,53027
meta_llama4_card,Llama 4 Model Card,model_card,meta,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama4/MODEL_CARD.md,2026-03-31 09:20:14.050461+00:00,3165
meta_llama_guard,Llama Guard Paper,constitution,meta,https://arxiv.org/pdf/2312.06674,2026-03-31 09:18:48.537204+00:00,7127
meta_llamaguard3_card,Llama Guard 3 Vision Card,constitution,meta,https://raw.githubusercontent.com/meta-llama/PurpleLlama/main/Llama-Guard3/11B-vision/MODEL_CARD.md,2026-03-31 09:20:00.000174+00:00,1531
meta_llamaguard_card,Llama Guard Model Card,constitution,meta,https://raw.githubusercontent.com/meta-llama/PurpleLlama/main/Llama-Guard/MODEL_CARD.md,2026-03-31 09:19:45.221035+00:00,805
meta_llama_use_policy,Llama 3.3 Use Policy,usage_policy,meta,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama3_3/USE_POLICY.md,2026-04-08 22:19:37.325186+00:00,802
meta_purple_llama,Purple Llama (Safety Tools),constitution,meta,https://raw.githubusercontent.com/meta-llama/PurpleLlama/main/README.md,2026-04-08 22:19:37.568525+00:00,904
meta_responsible_use,Llama 3.3 Model Card,model_card,meta,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama3_3/MODEL_CARD.md,2026-03-31 09:18:07.485872+00:00,2572
mistral_7b_model_card,Mistral 7B Model Card,model_card,mistral,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3/raw/main/README.md,2026-03-31 09:20:43.449229+00:00,745
mistral_codestral_blog,Codestral Release,model_card,mistral,https://mistral.ai/news/codestral,2026-04-17 13:31:37.146233+00:00,1235
mistral_guardrailing,Guardrailing Docs,usage_policy,mistral,https://docs.mistral.ai/capabilities/guardrailing/,2026-04-08 22:19:37.784975+00:00,1807
mistral_large_2_blog,Mistral Large 2 Release,model_card,mistral,https://mistral.ai/news/mistral-large-2407,2026-04-17 13:31:36.851741+00:00,979
mistral_mixtral_model_card,Mixtral 8x22B Model Card,model_card,mistral,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1/raw/main/README.md,2026-03-31 09:20:28.798801+00:00,810
mistral_moderation,Moderation API,constitution,mistral,https://mistral.ai/news/mistral-moderation,2026-04-08 22:19:37.998299+00:00,313
mistral_small_3_blog,Mistral Small 3 Release,model_card,mistral,https://mistral.ai/news/mistral-small-3,2026-04-17 13:31:36.961594+00:00,957
mistral_small_3_hf_card,Mistral Small 24B Instruct 2501 Model Card,model_card,mistral,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501/raw/main/README.md,2026-04-17 13:31:37.059886+00:00,1740
mistral_usage_policy,Usage Policy,usage_policy,mistral,https://legal.mistral.ai/terms/usage-policy,2026-04-08 22:19:37.894585+00:00,965
openai_agentic_governance,Practices for Governing Agentic AI,constitution,openai,https://cdn.openai.com/papers/practices-for-governing-agentic-ai-systems.pdf,2026-04-08 22:19:36.679811+00:00,12761
openai_gpt45_system_card,GPT-4.5 System Card,model_card,openai,https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf,2026-03-31 09:15:03.785450+00:00,9853
openai_gpt4o_system_card,GPT-4o System Card,model_card,openai,https://cdn.openai.com/gpt-4o-system-card.pdf,2026-03-31 09:14:30.173489+00:00,11624
openai_gpt4_system_card,GPT-4 System Card,model_card,openai,https://cdn.openai.com/papers/gpt-4-system-card.pdf,2026-03-31 09:14:14.824379+00:00,27859
